,task,num_simulations,num_observation,algorithm,seed,0,1,2,3,4,5,6,7,8,9,"[0, 1]","[0, 2]","[0, 3]","[0, 4]","[0, 5]","[0, 6]","[0, 7]","[0, 8]","[0, 9]","[1, 2]","[1, 3]","[1, 4]","[1, 5]","[1, 6]","[1, 7]","[1, 8]","[1, 9]","[2, 3]","[2, 4]","[2, 5]","[2, 6]","[2, 7]","[2, 8]","[2, 9]","[3, 4]","[3, 5]","[3, 6]","[3, 7]","[3, 8]","[3, 9]","[4, 5]","[4, 6]","[4, 7]","[4, 8]","[4, 9]","[5, 6]","[5, 7]","[5, 8]","[5, 9]","[6, 7]","[6, 8]","[6, 9]","[7, 8]","[7, 9]","[8, 9]",1-dim mean,1-dim var,2-dim mean,2-dim var,path,folder
0,bernoulli_glm,10000,7,SMC-ABC,3979172396,0.6927499771118164,0.8265500068664551,0.8269500136375427,0.8578000068664551,0.8129000067710876,0.7339500188827515,0.7213500142097473,0.7426000237464905,0.6876999735832214,0.8568500280380249,0.9240000247955322,0.9194999933242798,0.9373000264167786,0.910099983215332,0.885200023651123,0.8914999961853027,0.8924999833106995,0.886650025844574,0.9172999858856201,0.9187999963760376,0.9401000142097473,0.9303500056266785,0.9265499711036682,0.9119499921798706,0.929099977016449,0.9242500066757202,0.9429500102996826,0.9423499703407288,0.9352999925613403,0.9066500067710876,0.9223999977111816,0.9392499923706055,0.9077500104904175,0.9376999735832214,0.9414499998092651,0.9395999908447266,0.9381499886512756,0.9460499882698059,0.9345999956130981,0.9452499747276306,0.9002000093460083,0.9170500040054321,0.9052500128746033,0.8910499811172485,0.9373999834060669,0.8795499801635742,0.8737000226974487,0.8755499720573425,0.9112499952316284,0.8911499977111816,0.8980500102043152,0.9225500226020813,0.8883000016212463,0.9079999923706055,0.9205999970436096,0.7759400069713592,0.004033859099769508,0.9165388862291972,0.00043416009171825935,/home/ben/sci/marginal_c2sts/2021-02-08/bernoulli_glm/SMC-ABC/7-10000-2946230_4,2021-02-08/bernoulli_glm/SMC-ABC/7-10000-2946230_4
1,bernoulli_glm,10000,6,SMC-ABC,733092204,0.7454000115394592,0.7702999711036682,0.949999988079071,0.953499972820282,0.9085999727249146,0.8402500152587891,0.8014000058174133,0.7966499924659729,0.9290500283241272,0.8805500268936157,0.9024999737739563,0.9858999848365784,0.9861500263214111,0.9736999869346619,0.9248999953269958,0.9078500270843506,0.8932499885559082,0.9745000004768372,0.9431999921798706,0.9873499870300293,0.9825999736785889,0.965499997138977,0.9262999892234802,0.9150999784469604,0.9070500135421753,0.9759500026702881,0.9417999982833862,0.9880499839782715,0.9836999773979187,0.9855999946594238,0.9850500226020813,0.9867500066757202,0.9851999878883362,0.9883000254631042,0.9843999743461609,0.9880499839782715,0.9863499999046326,0.989549994468689,0.9902999997138977,0.9848499894142151,0.970550000667572,0.9693999886512756,0.9769499897956848,0.9836999773979187,0.970550000667572,0.923550009727478,0.937250018119812,0.98294997215271,0.9596999883651733,0.9338499903678894,0.9735000133514404,0.9396499991416931,0.9783499836921692,0.9546999931335449,0.978950023651123,0.8575699985027313,0.005335185827381003,0.9634077734417386,0.0007969093782714463,/home/ben/sci/marginal_c2sts/2021-02-08/bernoulli_glm/SMC-ABC/6-10000-2946230_3,2021-02-08/bernoulli_glm/SMC-ABC/6-10000-2946230_3
2,bernoulli_glm,10000,9,SMC-ABC,441573157,0.8513500094413757,0.8530499935150146,0.886900007724762,0.8691999912261963,0.8571000099182129,0.836899995803833,0.8464000225067139,0.8786500096321106,0.8763499855995178,0.8451499938964844,0.9337499737739563,0.9521999955177307,0.9472500085830688,0.9041000008583069,0.9182000160217285,0.9344000220298767,0.9275500178337097,0.9293500185012817,0.9275500178337097,0.9418500065803528,0.9416000247001648,0.937749981880188,0.9413999915122986,0.9337000250816345,0.9398999810218811,0.9470999836921692,0.9413999915122986,0.9480999708175659,0.95169997215271,0.9365000128746033,0.9427000284194946,0.949150025844574,0.9484500288963318,0.9487500190734863,0.9369999766349792,0.9261500239372253,0.9322999715805054,0.9397500157356262,0.9406499862670898,0.9391999840736389,0.9192500114440918,0.9107000231742859,0.9265999794006348,0.9221000075340271,0.9067999720573425,0.9021499752998352,0.9387999773025513,0.929099977016449,0.9190499782562256,0.9320499897003174,0.9387000203132629,0.9247999787330627,0.940500020980835,0.9391999840736389,0.9364500045776367,0.8601050019264221,0.0002493912020726441,0.9339044438468085,0.00015110657759712356,/home/ben/sci/marginal_c2sts/2021-02-08/bernoulli_glm/SMC-ABC/9-10000-2946230_6,2021-02-08/bernoulli_glm/SMC-ABC/9-10000-2946230_6
3,bernoulli_glm,10000,8,SMC-ABC,3322184113,0.8253999948501587,0.9599499702453613,0.9151999950408936,0.8787500262260437,0.8741999864578247,0.7559499740600586,0.7657999992370605,0.7537999749183655,0.7771999835968018,0.7616999745368958,0.9830999970436096,0.9728500247001648,0.9643999934196472,0.9577000141143799,0.9334499835968018,0.9444500207901001,0.9412000179290771,0.9380499720573425,0.9467999935150146,0.9775999784469604,0.9757999777793884,0.9821000099182129,0.9773499965667725,0.975600004196167,0.9803000092506409,0.9729499816894531,0.9738500118255615,0.9795500040054321,0.9763000011444092,0.9671499729156494,0.9666500091552734,0.9606000185012817,0.9629999995231628,0.9660000205039978,0.9675499796867371,0.9556000232696533,0.953249990940094,0.9455000162124634,0.9483000040054321,0.9493499994277954,0.9491999745368958,0.9470499753952026,0.9476500153541565,0.9412000179290771,0.9496999979019165,0.9247999787330627,0.9157000184059143,0.8978000283241272,0.9337499737739563,0.9200500249862671,0.9067999720573425,0.9192000031471252,0.9225999712944031,0.929099977016449,0.9076499938964844,0.8267949879169464,0.005125890227705163,0.9513022210862901,0.0005077990334806682,/home/ben/sci/marginal_c2sts/2021-02-08/bernoulli_glm/SMC-ABC/8-10000-2946230_5,2021-02-08/bernoulli_glm/SMC-ABC/8-10000-2946230_5
4,bernoulli_glm,10000,1,SMC-ABC,350982664,0.7429999709129333,0.8305500149726868,0.8728500008583069,0.8727999925613403,0.7800499796867371,0.817550003528595,0.8309500217437744,0.9309999942779541,0.7593500018119812,0.7179999947547913,0.9237499833106995,0.9485999941825867,0.9345499873161316,0.8944000005722046,0.9215999841690063,0.9243500232696533,0.9538499712944031,0.8876500129699707,0.8841000199317932,0.9464499950408936,0.9360499978065491,0.9082000255584717,0.9339500069618225,0.9193000197410583,0.954200029373169,0.9192000031471252,0.9114999771118164,0.9384999871253967,0.9273999929428101,0.939300000667572,0.9343000054359436,0.9603000283241272,0.9428499937057495,0.9355999827384949,0.934499979019165,0.937250018119812,0.9350000023841858,0.9657999873161316,0.9362499713897705,0.9356499910354614,0.9147499799728394,0.9200000166893005,0.9563500285148621,0.8970000147819519,0.8967999815940857,0.926800012588501,0.9501000046730042,0.8975499868392944,0.9231500029563904,0.9550999999046326,0.9104999899864197,0.9282000064849854,0.9548500180244446,0.9570000171661377,0.8999000191688538,0.81560999751091,0.003955387954385579,0.9291655566957262,0.0004203953158834483,/home/ben/sci/marginal_c2sts/2021-02-08/bernoulli_glm/SMC-ABC/1-10000-2946230_0,2021-02-08/bernoulli_glm/SMC-ABC/1-10000-2946230_0
5,bernoulli_glm,10000,3,SMC-ABC,1558612096,0.7008000016212463,0.7459999918937683,0.8124499917030334,0.7766500115394592,0.7665500044822693,0.8603500127792358,0.8385999798774719,0.7127000093460083,0.8580999970436096,0.92330002784729,0.8968499898910522,0.9110000133514404,0.8894000053405762,0.8949999809265137,0.9247000217437744,0.8994500041007996,0.8903499841690063,0.9351000189781189,0.9511500000953674,0.9043499827384949,0.9030500054359436,0.8831999897956848,0.9331499934196472,0.9310500025749207,0.8942499756813049,0.9307500123977661,0.9572499990463257,0.9103000164031982,0.9094499945640564,0.9403499960899353,0.9262499809265137,0.9221000075340271,0.9369000196456909,0.9621999859809875,0.9131500124931335,0.9414499998092651,0.9368500113487244,0.9100499749183655,0.9424999952316284,0.964900016784668,0.9364500045776367,0.9337499737739563,0.9046499729156494,0.9467999935150146,0.963450014591217,0.9476500153541565,0.942799985408783,0.9552500247955322,0.9677500128746033,0.9254000186920166,0.9488000273704529,0.9621000289916992,0.9330499768257141,0.9553999900817871,0.9589999914169312,0.7995500028133392,0.004590561941457913,0.9295288893911574,0.0005508304300587567,/home/ben/sci/marginal_c2sts/2021-02-08/bernoulli_glm/SMC-ABC/3-10000-2946230_1,2021-02-08/bernoulli_glm/SMC-ABC/3-10000-2946230_1
6,bernoulli_glm,10000,4,SMC-ABC,695218539,0.7594500184059143,0.6478999853134155,0.6015499830245972,0.6386500000953674,0.7020000219345093,0.7031999826431274,0.7067499756813049,0.7325999736785889,0.6593999862670898,0.7084500193595886,0.9097999930381775,0.9143000245094299,0.9163500070571899,0.9163500070571899,0.8938000202178955,0.9115999937057495,0.9043499827384949,0.9085500240325928,0.9189000129699707,0.8932999968528748,0.9001500010490417,0.9043999910354614,0.888700008392334,0.9010999798774719,0.9132000207901001,0.8937000036239624,0.9141499996185303,0.9139500260353088,0.9122999906539917,0.9017500281333923,0.9072999954223633,0.9172999858856201,0.9123499989509583,0.9104499816894531,0.911050021648407,0.8984000086784363,0.8982499837875366,0.916949987411499,0.903249979019165,0.8948000073432922,0.8937000036239624,0.9067000150680542,0.9127500057220459,0.9015499949455261,0.9241499900817871,0.8978999853134155,0.9020000100135803,0.8792499899864197,0.8803499937057495,0.8981000185012817,0.8956999778747559,0.9120000004768372,0.875249981880188,0.909850001335144,0.916450023651123,0.6859949946403503,0.002058586717281088,0.9045888900756835,0.00011860383245959838,/home/ben/sci/marginal_c2sts/2021-02-08/bernoulli_glm/SMC-ABC/4-10000-2946230_2,2021-02-08/bernoulli_glm/SMC-ABC/4-10000-2946230_2
7,bernoulli_glm_raw,10000,3,SMC-ABC,3162939321,0.7674999833106995,0.7603999972343445,0.7114499807357788,0.6669999957084656,0.7422500252723694,0.6851000189781189,0.6573500037193298,0.7397500276565552,0.6575000286102295,0.6585500240325928,0.8833000063896179,0.8805500268936157,0.8832499980926514,0.9059000015258789,0.8694999814033508,0.8809000253677368,0.9158499836921692,0.8956999778747559,0.9047999978065491,0.8752999901771545,0.8568500280380249,0.8969500064849854,0.8675500154495239,0.8572999835014343,0.8860499858856201,0.8844500184059143,0.8678500056266785,0.8263000249862671,0.8756999969482422,0.8454999923706055,0.8456000089645386,0.885450005531311,0.8484500050544739,0.8768500089645386,0.8923500180244446,0.8586999773979187,0.8539000153541565,0.8741499781608582,0.839900016784668,0.8260999917984009,0.8580499887466431,0.8743500113487244,0.8702499866485596,0.8685500025749207,0.8653500080108643,0.8178499937057495,0.8605999946594238,0.8256999850273132,0.8602499961853027,0.8504499793052673,0.8156499862670898,0.840399980545044,0.8789499998092651,0.8830999732017517,0.8252999782562256,0.7046850085258484,0.00181355257333081,0.8656844430499606,0.0005713500518079561,/home/ben/sci/marginal_c2sts/2021-02-08/bernoulli_glm_raw/SMC-ABC/3-10000-2946229,2021-02-08/bernoulli_glm_raw/SMC-ABC/3-10000-2946229
8,bernoulli_glm,1000,7,NRE,1226368211,0.6691499948501587,0.6200000047683716,0.76419997215271,0.8512499928474426,0.7962999939918518,0.6456000208854675,0.5547999739646912,0.6462000012397766,0.6191499829292297,0.7620499730110168,0.7120000123977661,0.8173499703407288,0.8855500221252441,0.8449500203132629,0.7343999743461609,0.7020999789237976,0.7271999716758728,0.7144500017166138,0.8070499897003174,0.7916499972343445,0.8632500171661377,0.8184499740600586,0.6959499716758728,0.6324999928474426,0.68954998254776,0.671999990940094,0.7908999919891357,0.8682500123977661,0.8516499996185303,0.795199990272522,0.7718499898910522,0.7771499752998352,0.7718499898910522,0.8639000058174133,0.8748000264167786,0.8712000250816345,0.8589500188827515,0.8568999767303467,0.8553500175476074,0.906000018119812,0.8217999935150146,0.8059999942779541,0.8102499842643738,0.809149980545044,0.8697999715805054,0.6753000020980835,0.708549976348877,0.6923999786376953,0.7964500188827515,0.6643499732017517,0.6367999911308289,0.7721499800682068,0.6746500134468079,0.7869499921798706,0.8036999702453613,0.6928699910640717,0.008043900695006023,0.781125549475352,0.005508170467357097,/home/ben/sci/marginal_c2sts/2021-02-04/bernoulli_glm/nre/7-1000-2935464_6,2021-02-04/bernoulli_glm/nre/7-1000-2935464_6
9,bernoulli_glm,100000,7,NRE,2062581940,0.5767499804496765,0.5836499929428101,0.6218000054359436,0.6237000226974487,0.6093500256538391,0.5487499833106995,0.6451500058174133,0.6047000288963318,0.5864999890327454,0.5809999704360962,0.6102499961853027,0.6416000127792358,0.6553500294685364,0.6414499878883362,0.5924500226974487,0.6761000156402588,0.6317999958992004,0.618149995803833,0.6164000034332275,0.6319500207901001,0.6341999769210815,0.628849983215332,0.5962499976158142,0.6521000266075134,0.6264500021934509,0.6184499859809875,0.6185500025749207,0.649150013923645,0.6534000039100647,0.628350019454956,0.6725999712944031,0.6460000276565552,0.6503999829292297,0.6499999761581421,0.6482499837875366,0.6323500275611877,0.6693000197410583,0.6383500099182129,0.6545000076293945,0.650600016117096,0.6262000203132629,0.6774500012397766,0.6452500224113464,0.6379500031471252,0.6510999798774719,0.6601499915122986,0.6166999936103821,0.6012499928474426,0.5966500043869019,0.6539499759674072,0.6711000204086304,0.6658499836921692,0.6417499780654907,0.6324499845504761,0.6292499899864197,0.5981350004673004,0.0007127887127022703,0.6386811123953925,0.00044897469967592596,/home/ben/sci/marginal_c2sts/2021-02-04/bernoulli_glm/nre/7-100000-2935590_16,2021-02-04/bernoulli_glm/nre/7-100000-2935590_16
