,task,num_simulations,num_constraining_simulations,num_observation,algorithm,seed,dimension,rounds,"C2ST (0,)","C2ST (1,)","C2ST (2,)","C2ST (3,)","C2ST (4,)","C2ST (5,)","C2ST (6,)","C2ST (7,)","C2ST (8,)","C2ST (9,)","C2ST (0, 1)","C2ST (0, 2)","C2ST (0, 3)","C2ST (0, 4)","C2ST (0, 5)","C2ST (0, 6)","C2ST (0, 7)","C2ST (0, 8)","C2ST (0, 9)","C2ST (1, 2)","C2ST (1, 3)","C2ST (1, 4)","C2ST (1, 5)","C2ST (1, 6)","C2ST (1, 7)","C2ST (1, 8)","C2ST (1, 9)","C2ST (2, 3)","C2ST (2, 4)","C2ST (2, 5)","C2ST (2, 6)","C2ST (2, 7)","C2ST (2, 8)","C2ST (2, 9)","C2ST (3, 4)","C2ST (3, 5)","C2ST (3, 6)","C2ST (3, 7)","C2ST (3, 8)","C2ST (3, 9)","C2ST (4, 5)","C2ST (4, 6)","C2ST (4, 7)","C2ST (4, 8)","C2ST (4, 9)","C2ST (5, 6)","C2ST (5, 7)","C2ST (5, 8)","C2ST (5, 9)","C2ST (6, 7)","C2ST (6, 8)","C2ST (6, 9)","C2ST (7, 8)","C2ST (7, 9)","C2ST (8, 9)",C2ST 1-dim sum,C2ST 1-dim mean,C2ST 1-dim var,C2ST 2-dim sum,C2ST 2-dim mean,C2ST 2-dim var,RT,path,folder
63,sir,71976,100368,5,tmnre,3786956333,2,2,0.5099999904632568,0.5009999871253967,,,,,,,,,0.5390999913215637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0110000371932983,0.5055000185966492,4.0499999158782884e-05,0.5390999913215637,0.5390999913215637,,2425.269,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-5-100000,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-5-100000
64,sir,57817,99844,4,tmnre,1271894349,2,3,0.49239999055862427,0.5138000249862671,,,,,,,,,0.5493000149726868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0061999559402466,0.5030999779701233,0.00019999999494757503,0.5493000149726868,0.5493000149726868,,2125.534,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-4-100000,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-4-100000
65,sir,984,984,3,tmnre,786513208,2,1,0.9287999868392944,0.7200000286102295,,,,,,,,,0.9556999802589417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.648800015449524,0.824400007724762,0.021800000220537186,0.9556999802589417,0.9556999802589417,,310.58704,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-3-1000,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-3-1000
66,sir,1004,1004,10,tmnre,2322277198,2,1,0.7908999919891357,0.5820000171661377,,,,,,,,,0.7369999885559082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3727999925613403,0.6863999962806702,0.021800000220537186,0.7369999885559082,0.7369999885559082,,356.77118,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-10-1000,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-10-1000
67,sir,54844,100057,2,tmnre,741422738,2,3,0.5196999907493591,0.5138000249862671,,,,,,,,,0.5712000131607056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0335999727249146,0.5167999863624573,1.7701000615488738e-05,0.5712000131607056,0.5712000131607056,,2516.8535,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-2-100000,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-2-100000
68,sir,5360,10066,9,tmnre,1333420433,2,4,0.545199990272522,0.525600016117096,,,,,,,,,0.6269999742507935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0707000494003296,0.5353999733924866,0.00019999999494757503,0.6269999742507935,0.6269999742507935,,617.9302,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-9-10000,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-9-10000
69,sir,759,970,2,tmnre,838244531,2,3,0.7645000219345093,0.9667999744415283,,,,,,,,,0.9266999959945679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7312999963760376,0.8655999898910522,0.020500000566244125,0.9266999959945679,0.9266999959945679,,450.18893,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-2-1000,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-2-1000
70,sir,625,1024,7,tmnre,746235730,2,4,0.7372000217437744,0.5623000264167786,,,,,,,,,0.8532999753952026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2994999885559082,0.6496999859809875,0.015300000086426735,0.8532999753952026,0.8532999753952026,,538.6351,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-7-1000,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-7-1000
71,sir,54838,99611,3,tmnre,571939153,2,3,0.5062999725341797,0.510200023651123,,,,,,,,,0.52920001745224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0164999961853027,0.5081999897956848,7.22010008757934e-06,0.52920001745224,0.52920001745224,,2106.0085,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-3-100000,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-3-100000
72,sir,5736,10128,7,tmnre,1610182647,2,3,0.5516999959945679,0.5421000123023987,,,,,,,,,0.551800012588501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0937999486923218,0.5468999743461609,4.6560999180655926e-05,0.551800012588501,0.551800012588501,,612.8007,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-7-10000,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-7-10000
73,sir,62782,99891,9,tmnre,651218285,2,3,0.5346999764442444,0.5062000155448914,,,,,,,,,0.5250999927520752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0408999919891357,0.5203999876976013,0.00039999998989515007,0.5250999927520752,0.5250999927520752,,2368.1113,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-9-100000,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-9-100000
74,sir,871,981,8,tmnre,2275475501,2,2,0.5641000270843506,0.5490000247955322,,,,,,,,,0.8406000137329102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1131999492645264,0.5565999746322632,9.999999747378752e-05,0.8406000137329102,0.8406000137329102,,554.8986,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-8-1000,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-8-1000
75,sir,72286,100098,1,tmnre,1230515101,2,2,0.5307999849319458,0.5360999703407288,,,,,,,,,0.5738999843597412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0667999982833862,0.5333999991416931,1.3781000234303065e-05,0.5738999843597412,0.5738999843597412,,2114.0637,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-1-100000,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-1-100000
76,sir,71445,99716,6,tmnre,2369622807,2,2,0.5048999786376953,0.510699987411499,,,,,,,,,0.5372999906539917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0156999826431274,0.5077999830245972,1.7111000488512218e-05,0.5372999906539917,0.5372999906539917,,3068.6797,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-6-100000,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-6-100000
77,sir,4819,9998,5,tmnre,1585394546,2,4,0.5249999761581421,0.5855000019073486,,,,,,,,,0.5637999773025513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1104999780654907,0.5551999807357788,0.0017999999690800905,0.5637999773025513,0.5637999773025513,,909.9193,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-5-10000,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-5-10000
78,sir,951,951,4,tmnre,3325288346,2,1,0.8528000116348267,0.7486000061035156,,,,,,,,,0.9642000198364258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6014000177383423,0.8007000088691711,0.005400000140070915,0.9642000198364258,0.9642000198364258,,233.9974,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-4-1000,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-4-1000
79,sir,3394,10030,2,tmnre,634814912,2,5,0.6215999722480774,0.5619000196456909,,,,,,,,,0.6287999749183655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.183500051498413,0.5917999744415283,0.0017999999690800905,0.6287999749183655,0.6287999749183655,,619.8203,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-2-10000,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-2-10000
80,sir,906,985,5,tmnre,680883457,2,2,0.7135000228881836,0.5841000080108643,,,,,,,,,0.8302000164985657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2976000308990479,0.6488000154495239,0.00839999970048666,0.8302000164985657,0.8302000164985657,,288.11444,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-5-1000,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-5-1000
81,sir,72057,100547,7,tmnre,500542574,2,2,0.5033000111579895,0.5102999806404114,,,,,,,,,0.5232999920845032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0135999917984009,0.5067999958992004,2.4499999199179e-05,0.5232999920845032,0.5232999920845032,,3754.9365,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-7-100000,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-7-100000
82,sir,6416,9973,10,tmnre,2767618545,2,3,0.6565999984741211,0.718500018119812,,,,,,,,,0.6299999952316284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.375100016593933,0.6875,0.0019000000320374966,0.6299999952316284,0.6299999952316284,,541.6125,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-10-10000,/home/ben/sci/tmnre/outputs/2021-07-17/10-41-33/sir/tmnre-2d-10-10000
83,gaussian_linear,406,986,2,tmnre,2800326579,10,3,0.8245999813079834,0.8513000011444092,0.6868000030517578,0.7850000262260437,0.5289000272750854,0.5676000118255615,0.7426000237464905,0.7002999782562256,0.8360000252723694,0.767300009727478,0.9764999747276306,0.745199978351593,0.7315000295639038,0.7342000007629395,0.7074000239372253,0.8867999911308289,0.7886000275611877,0.8489999771118164,0.8967000246047974,0.5949000120162964,0.5971999764442444,0.7903000116348267,0.9646000266075134,0.8011999726295471,0.7523999810218811,0.8888000249862671,0.7799999713897705,0.6273999810218811,0.6700999736785889,0.8579000234603882,0.7531999945640564,0.6913999915122986,0.6834999918937683,0.8440999984741211,0.9760000109672546,0.7174000144004822,0.8276000022888184,0.9617999792098999,0.7311000227928162,0.9595999717712402,0.9470999836921692,0.9404000043869019,0.5982999801635742,0.991599977016449,0.8715999722480774,0.9704999923706055,0.833899974822998,0.9340000152587891,0.904699981212616,0.965499997138977,0.9843999743461609,0.8158000111579895,0.9498000144958496,0.7603999972343445,0.8658000230789185,7.29040002822876,0.7289999723434448,0.01209999993443489,37.12049865722656,0.8248999714851379,0.013899999670684338,260.58484,/home/ben/sci/tmnre/outputs/gaussian_linear/2021-08-04/17-49-54/tmnre-10d-0.1scale-2-1000,/home/ben/sci/tmnre/outputs/gaussian_linear/2021-08-04/17-49-54/tmnre-10d-0.1scale-2-1000
84,gaussian_linear,683,968,10,tmnre,3383611511,10,2,0.5892000198364258,0.769599974155426,0.6786999702453613,0.8278999924659729,0.8342000246047974,0.7504000067710876,0.6988000273704529,0.6330999732017517,0.6736000180244446,0.7972000241279602,0.8054999709129333,0.8116000294685364,0.9337999820709229,0.9254000186920166,0.9233999848365784,0.8557999730110168,0.88919997215271,0.7986000180244446,0.8490999937057495,0.9229000210762024,0.972100019454956,0.9235000014305115,0.838100016117096,0.855400025844574,0.8798999786376953,0.9101999998092651,0.8851000070571899,0.8440999984741211,0.9455000162124634,0.8375999927520752,0.9223999977111816,0.839900016784668,0.901199996471405,0.8928999900817871,0.9369000196456909,0.9817000031471252,0.8991000056266785,0.9663000106811523,0.9067000150680542,0.8633999824523926,0.9053999781608582,0.8813999891281128,0.8478999733924866,0.9447000026702881,0.9404000043869019,0.858299970626831,0.804099977016449,0.8841000199317932,0.8639000058174133,0.7922000288963318,0.8367000222206116,0.9247000217437744,0.8632000088691711,0.9487000107765198,0.8500000238418579,7.252799987792969,0.7253000140190125,0.007000000216066837,39.86289978027344,0.8858000040054321,0.002400000113993883,280.57788,/home/ben/sci/tmnre/outputs/gaussian_linear/2021-08-04/17-49-54/tmnre-10d-0.1scale-10-1000,/home/ben/sci/tmnre/outputs/gaussian_linear/2021-08-04/17-49-54/tmnre-10d-0.1scale-10-1000
