7  5.62863	2.232406e+00	1.205595e-01	1.041553e+00	3.091122e+00	9.614471e-01	6.154259e-02	
2  3.06818	2.254154e+00	1.188746e-01	1.041307e+00	3.084232e+00	9.657031e-01	6.027820e-02	
3  5.09219	2.249344e+00	1.178961e-01	1.041056e+00	3.071747e+00	9.661682e-01	5.562810e-02	
4  4.25608	2.232248e+00	1.187568e-01	1.041252e+00	3.080507e+00	9.674022e-01	5.948652e-02	
1  4.28182	2.242207e+00	1.186584e-01	1.040631e+00	3.079275e+00	9.679026e-01	5.919143e-02	
1  4.65115	2.251246e+00	1.172356e-01	1.041114e+00	3.080651e+00	9.741933e-01	6.164241e-02	
2  2.27367	2.261159e+00	1.180269e-01	1.041384e+00	3.084291e+00	9.711840e-01	6.084897e-02	
2  0.765569	2.248868e+00	1.188741e-01	1.041119e+00	3.076814e+00	9.693528e-01	5.644449e-02	
1  1.64716	2.221041e+00	1.202945e-01	1.040772e+00	3.079553e+00	9.647179e-01	5.590946e-02	
2  1.98775	2.233728e+00	1.199218e-01	1.041064e+00	3.079935e+00	9.696282e-01	5.736852e-02	
11  1.98675	2.228237e+00	1.210048e-01	1.041047e+00	3.070943e+00	9.672432e-01	5.158564e-02	
1  1.62966	2.244854e+00	1.202128e-01	1.040912e+00	3.073100e+00	9.677267e-01	5.310256e-02	
2  2.485	2.218206e+00	1.203778e-01	1.040601e+00	3.071519e+00	9.654807e-01	5.214691e-02	
8  0.981058	2.227090e+00	1.202497e-01	1.041175e+00	3.068968e+00	9.637051e-01	5.059258e-02	
13  2.18936	2.223067e+00	1.197440e-01	1.041059e+00	3.064518e+00	9.683884e-01	5.008561e-02	
6  2.31821	2.241478e+00	1.182118e-01	1.041345e+00	3.068196e+00	9.713289e-01	5.384974e-02	
4  2.08909	2.264083e+00	1.177394e-01	1.041379e+00	3.073878e+00	9.689120e-01	5.604391e-02	
3  3.43471	2.277022e+00	1.186589e-01	1.041431e+00	3.080680e+00	9.691247e-01	5.779361e-02	
2  3.02411	2.265043e+00	1.183937e-01	1.040983e+00	3.068766e+00	9.713367e-01	5.322951e-02	
1  2.31487	2.251821e+00	1.189748e-01	1.040920e+00	3.073330e+00	9.709746e-01	5.519381e-02	
14  1.88765	2.255021e+00	1.182248e-01	1.041171e+00	3.080313e+00	9.685748e-01	5.775520e-02	
2  3.40902	2.266132e+00	1.167918e-01	1.041170e+00	3.073661e+00	9.698259e-01	5.608213e-02	
1  3.55226	2.257949e+00	1.180109e-01	1.040888e+00	3.060291e+00	9.702666e-01	4.879142e-02	
4  2.37819	2.254521e+00	1.177628e-01	1.041174e+00	3.061786e+00	9.716989e-01	5.038741e-02	
2  3.51306	2.278947e+00	1.174039e-01	1.041576e+00	3.072870e+00	9.715321e-01	5.542075e-02	
4  4.46475	2.268219e+00	1.190258e-01	1.041726e+00	3.062077e+00	9.675239e-01	4.787782e-02	
8  5.00215	2.249205e+00	1.205909e-01	1.041272e+00	3.055150e+00	9.646989e-01	4.326065e-02	
5  4.19119	2.263109e+00	1.185174e-01	1.041169e+00	3.058936e+00	9.699186e-01	4.870137e-02	
1  7.83471	2.260053e+00	1.177256e-01	1.041375e+00	3.051448e+00	9.726593e-01	4.666665e-02	
1  6.05699	2.272908e+00	1.176608e-01	1.041140e+00	3.062836e+00	9.734755e-01	5.215312e-02	
9  5.4059	2.271972e+00	1.179131e-01	1.040858e+00	3.059322e+00	9.704291e-01	4.927213e-02	
2  4.0991	2.260691e+00	1.182950e-01	1.040579e+00	3.066678e+00	9.680050e-01	5.243585e-02	
1  4.73694	2.262937e+00	1.180847e-01	1.040684e+00	3.061207e+00	9.667808e-01	4.960802e-02	
7  3.63768	2.263378e+00	1.180211e-01	1.041140e+00	3.059752e+00	9.676474e-01	4.887935e-02	
1  4.05446	2.261108e+00	1.183310e-01	1.040842e+00	3.061085e+00	9.648150e-01	4.852501e-02	
3  4.98062	2.252945e+00	1.189283e-01	1.040539e+00	3.059135e+00	9.636753e-01	4.688708e-02	
1  4.18157	2.235943e+00	1.172751e-01	1.040887e+00	3.064087e+00	9.700717e-01	5.196108e-02	
18  2.42986	2.226426e+00	1.195418e-01	1.040806e+00	3.062793e+00	9.655986e-01	4.925360e-02	
1  2.56139	2.221500e+00	1.192218e-01	1.040748e+00	3.070320e+00	9.668018e-01	5.344690e-02	
1  1.15308	2.219508e+00	1.204718e-01	1.040982e+00	3.071650e+00	9.643719e-01	5.187502e-02	
4  3.20051	2.210597e+00	1.207491e-01	1.040796e+00	3.068959e+00	9.612939e-01	5.044316e-02	
7  2.43008	2.229758e+00	1.194304e-01	1.040656e+00	3.066946e+00	9.637819e-01	5.090062e-02	
1  2.35134	2.221724e+00	1.201460e-01	1.040568e+00	3.076352e+00	9.628316e-01	5.488113e-02	
2  2.41582	2.240455e+00	1.211739e-01	1.041423e+00	3.080524e+00	9.598773e-01	5.371093e-02	
