,epsilon,num_simulations,volume,kld,seed,"(0,)","(1,)","(2,)","(0, 1)","(0, 2)","(1, 2)",1-dim sum,1-dim mean,1-dim var,2-dim sum,2-dim mean,2-dim var,path,folder
40,-4,55976.0,0.011046876199543476,0.4356628954410553,6780,0.50975,0.5024,0.5131,0.53805,0.549,0.5319,1.5252501,0.5084167,2.995609e-05,1.6189499,0.53964996,7.502283e-05,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/15-30-01/-4,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/15-30-01/-4
41,-3,53722.0,0.006980473175644875,0.4169881343841553,2527,0.50125,0.50985,0.514,0.5304,0.56425,0.5652,1.5251,0.50836664,4.229066e-05,1.65985,0.55328333,0.0003929609,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/15-30-01/-3,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/15-30-01/-3
42,-10,47652.0,0.0512518547475338,1.6954039335250854,1892,0.5628,0.54955,0.513,0.6303,0.5664,0.5572,1.62535,0.54178333,0.0006652503,1.7539,0.58463335,0.0015852425,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/15-30-01/-10,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/15-30-01/-10
43,-9,52713.0,0.02953026257455349,1.8421717882156372,1125,0.57235,0.5313,0.5272,0.57585,0.5349,0.54725,1.6308501,0.5436167,0.0006234067,1.658,0.55266666,0.00044123104,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/15-30-01/-9,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/15-30-01/-9
44,-7,54059.0,0.018840773031115532,0.977379322052002,7498,0.5222,0.5151,0.51475,0.55135,0.53415,0.55075,1.55205,0.51735,1.7672428e-05,1.63625,0.54541665,9.529336e-05,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/15-30-01/-7,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/15-30-01/-7
45,-8,54729.0,0.02652874030172825,1.2563573122024536,4558,0.52575,0.53995,0.50115,0.5772,0.52725,0.5677,1.5668501,0.5222834,0.00038537325,1.67215,0.55738336,0.00070357625,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/15-30-01/-8,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/15-30-01/-8
46,-5,55214.0,0.013598592020571232,0.8175428509712219,584,0.5122,0.51535,0.5199,0.5498,0.58535,0.5201,1.5474501,0.5158167,1.4985946e-05,1.65525,0.55175,0.0010672419,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/15-30-01/-5,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/15-30-01/-5
47,-6,54384.0,0.01844060979783535,0.7140882015228271,529,0.5235,0.5225,0.5034,0.5278,0.5273,0.5423,1.5494001,0.5164667,0.00012830301,1.5974,0.53246665,7.258308e-05,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/15-30-01/-6,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/15-30-01/-6
48,-2,53407.0,0.004322798922657967,0.3320770263671875,1476,0.5156,0.50065,0.5011,0.5077,0.52935,0.514,1.51735,0.5057833,7.2326126e-05,1.55105,0.51701665,0.00012400538,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/15-30-01/-2,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/15-30-01/-2
49,-1,48572.0,0.0021892741788178682,0.8644428849220276,6810,0.51405,0.51105,0.5284,0.51395,0.53915,0.5299,1.5534999,0.5178333,8.599094e-05,1.583,0.5276666,0.00016250099,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/15-30-01/-1,/home/ben/sci/potential-happiness/epsilon/outputs/2021-05-26/15-30-01/-1
